"activities-heart__value__restingHeartRate","activities-heart__value__heartRateZones__max","activities-heart__value__heartRateZones__caloriesOut","activities-heart__value__heartRateZones__minutes","activities-heart__value__heartRateZones__name","activities-heart__value__heartRateZones__min","activities-heart__dateTime","activities-heart-intraday__datasetType","activities-heart-intraday__datasetInterval","activities-heart-intraday__dataset__value","activities-heart-intraday__dataset__time"
"70","98","1868.94672","1035","Out of Range","30","2016-04-26","second","1","74","00:00:05"
"","137","1310.97408","309","Fat Burn","98","","","","75","00:00:20"
"","166","0","0","Cardio","137","","","","75","00:00:35"
"","220","0","0","Peak","166","","","","75","00:00:50"
"","","","","","","","","","74","00:01:00"
"","","","","","","","","","72","00:01:10"
"","","","","","","","","","72","00:01:25"
"","","","","","","","","","73","00:01:30"
"","","","","","","","","","73","00:01:45"
"","","","","","","","","","74","00:01:55"
"","","","","","","","","","75","00:02:10"
"","","","","","","","","","76","00:02:25"
"","","","","","","","","","79","00:02:30"
"","","","","","","","","","79","00:02:45"
"","","","","","","","","","78","00:02:50"
"","","","","","","","","","78","00:03:05"
"","","","","","","","","","77","00:03:15"
"","","","","","","","","","78","00:03:30"
"","","","","","","","","","78","00:03:45"
"","","","","","","","","","78","00:04:00"
"","","","","","","","","","77","00:04:05"
"","","","","","","","","","78","00:04:20"
"","","","","","","","","","78","00:04:35"
"","","","","","","","","","78","00:04:50"
"","","","","","","","","","78","00:05:05"
"","","","","","","","","","78","00:05:20"
"","","","","","","","","","78","00:05:35"
"","","","","","","","","","79","00:05:50"
"","","","","","","","","","77","00:06:00"
"","","","","","","","","","75","00:06:10"
"","","","","","","","","","74","00:06:20"
"","","","","","","","","","73","00:06:30"
"","","","","","","","","","73","00:06:45"
"","","","","","","","","","72","00:06:50"
"","","","","","","","","","70","00:07:00"
"","","","","","","","","","70","00:07:10"
"","","","","","","","","","71","00:07:25"
"","","","","","","","","","72","00:07:40"
"","","","","","","","","","71","00:07:45"
"","","","","","","","","","71","00:08:00"
"","","","","","","","","","71","00:08:15"
"","","","","","","","","","72","00:08:20"
"","","","","","","","","","72","00:08:35"
"","","","","","","","","","73","00:08:40"
"","","","","","","","","","72","00:08:45"
"","","","","","","","","","73","00:08:55"
"","","","","","","","","","73","00:09:10"
"","","","","","","","","","75","00:09:15"
"","","","","","","","","","75","00:09:30"
"","","","","","","","","","75","00:09:45"
"","","","","","","","","","75","00:09:50"
"","","","","","","","","","75","00:10:00"
"","","","","","","","","","75","00:10:15"
"","","","","","","","","","76","00:10:20"
"","","","","","","","","","78","00:10:25"
"","","","","","","","","","81","00:10:30"
"","","","","","","","","","82","00:10:35"
"","","","","","","","","","81","00:10:50"
"","","","","","","","","","81","00:11:05"
"","","","","","","","","","81","00:11:15"
"","","","","","","","","","83","00:11:20"
"","","","","","","","","","83","00:11:25"
"","","","","","","","","","85","00:11:35"
"","","","","","","","","","87","00:11:45"
"","","","","","","","","","88","00:11:50"
"","","","","","","","","","91","00:12:00"
"","","","","","","","","","90","00:12:10"
"","","","","","","","","","91","00:12:25"
"","","","","","","","","","91","00:12:40"
"","","","","","","","","","92","00:12:45"
"","","","","","","","","","92","00:13:00"
"","","","","","","","","","92","00:13:15"
"","","","","","","","","","93","00:13:20"
"","","","","","","","","","95","00:13:25"
"","","","","","","","","","97","00:13:30"
"","","","","","","","","","98","00:13:35"
"","","","","","","","","","97","00:13:40"
"","","","","","","","","","95","00:13:45"
"","","","","","","","","","96","00:13:55"
"","","","","","","","","","95","00:14:05"
"","","","","","","","","","96","00:14:10"
"","","","","","","","","","99","00:14:15"
"","","","","","","","","","101","00:14:20"
"","","","","","","","","","102","00:14:25"
"","","","","","","","","","103","00:14:30"
"","","","","","","","","","105","00:14:35"
"","","","","","","","","","106","00:14:40"
"","","","","","","","","","104","00:14:50"
"","","","","","","","","","104","00:14:55"
"","","","","","","","","","103","00:15:00"
"","","","","","","","","","100","00:15:05"
"","","","","","","","","","97","00:15:10"
"","","","","","","","","","98","00:15:15"
"","","","","","","","","","99","00:15:20"
"","","","","","","","","","101","00:15:25"
"","","","","","","","","","103","00:15:30"
"","","","","","","","","","104","00:15:35"
"","","","","","","","","","102","00:15:45"
"","","","","","","","","","102","00:16:00"
"","","","","","","","","","101","00:16:05"
"","","","","","","","","","102","00:16:10"
"","","","","","","","","","100","00:16:15"
"","","","","","","","","","94","00:16:20"
"","","","","","","","","","89","00:16:25"
"","","","","","","","","","90","00:16:30"
"","","","","","","","","","90","00:16:45"
"","","","","","","","","","89","00:16:50"
"","","","","","","","","","85","00:17:00"
"","","","","","","","","","84","00:17:05"
"","","","","","","","","","85","00:17:10"
"","","","","","","","","","87","00:17:15"
"","","","","","","","","","90","00:17:20"
"","","","","","","","","","91","00:17:25"
"","","","","","","","","","89","00:17:30"
"","","","","","","","","","88","00:17:40"
"","","","","","","","","","85","00:17:45"
"","","","","","","","","","83","00:17:50"
"","","","","","","","","","82","00:17:55"
"","","","","","","","","","86","00:18:05"
"","","","","","","","","","89","00:18:10"
"","","","","","","","","","91","00:18:15"
"","","","","","","","","","92","00:18:20"
"","","","","","","","","","94","00:18:25"
"","","","","","","","","","89","00:18:30"
"","","","","","","","","","87","00:18:35"
"","","","","","","","","","90","00:18:45"
"","","","","","","","","","92","00:18:50"
"","","","","","","","","","91","00:18:55"
"","","","","","","","","","90","00:19:10"
"","","","","","","","","","88","00:19:15"
"","","","","","","","","","86","00:19:20"
"","","","","","","","","","88","00:19:30"
"","","","","","","","","","85","00:19:35"
"","","","","","","","","","85","00:19:40"
"","","","","","","","","","85","00:19:45"
"","","","","","","","","","86","00:19:50"
"","","","","","","","","","84","00:19:55"
"","","","","","","","","","85","00:20:00"
"","","","","","","","","","83","00:20:05"
"","","","","","","","","","80","00:20:20"
"","","","","","","","","","82","00:20:25"
"","","","","","","","","","82","00:20:30"
"","","","","","","","","","82","00:20:35"
"","","","","","","","","","83","00:20:40"
"","","","","","","","","","82","00:20:55"
"","","","","","","","","","84","00:21:00"
"","","","","","","","","","84","00:21:15"
"","","","","","","","","","85","00:21:25"
"","","","","","","","","","84","00:21:30"
"","","","","","","","","","85","00:21:35"
"","","","","","","","","","86","00:21:40"
"","","","","","","","","","85","00:21:45"
"","","","","","","","","","82","00:21:50"
"","","","","","","","","","84","00:21:55"
"","","","","","","","","","86","00:22:00"
"","","","","","","","","","86","00:22:05"
"","","","","","","","","","89","00:22:15"
"","","","","","","","","","91","00:22:20"
"","","","","","","","","","96","00:22:25"
"","","","","","","","","","97","00:22:35"
"","","","","","","","","","98","00:22:40"
"","","","","","","","","","99","00:22:50"
"","","","","","","","","","96","00:23:00"
"","","","","","","","","","96","00:23:05"
"","","","","","","","","","98","00:23:10"
"","","","","","","","","","100","00:23:15"
"","","","","","","","","","103","00:23:20"
"","","","","","","","","","102","00:23:25"
"","","","","","","","","","100","00:23:30"
"","","","","","","","","","100","00:23:35"
"","","","","","","","","","102","00:23:40"
"","","","","","","","","","99","00:23:45"
"","","","","","","","","","96","00:23:50"
"","","","","","","","","","90","00:23:55"
"","","","","","","","","","88","00:24:00"
"","","","","","","","","","86","00:24:05"
"","","","","","","","","","88","00:24:15"
"","","","","","","","","","86","00:24:20"
"","","","","","","","","","84","00:24:25"
"","","","","","","","","","82","00:24:40"
"","","","","","","","","","81","00:24:55"
