sleep__logId,sleep__dateOfSleep,sleep__minutesToFallAsleep,sleep__awakeningsCount,sleep__minutesAwake,sleep__timeInBed,sleep__minutesAsleep,sleep__awakeDuration,sleep__efficiency,sleep__isMainSleep,sleep__startTime,sleep__restlessCount,sleep__duration,sleep__restlessDuration,value,time,sleep__awakeCount,sleep__minutesAfterWakeup,summary__totalTimeInBed,summary__totalMinutesAsleep,summary__totalSleepRecords
11485935698,2016-04-26,0,18,38,413,375,2,91,TRUE,2016-04-26T01:12:00.000,17,24780000,36,1,01:12:00,1,0,413,375,1
,,,,,,,,,,,,,,1,01:13:00,,,,,
,,,,,,,,,,,,,,2,01:14:00,,,,,
,,,,,,,,,,,,,,2,01:15:00,,,,,
,,,,,,,,,,,,,,1,01:16:00,,,,,
,,,,,,,,,,,,,,1,01:17:00,,,,,
,,,,,,,,,,,,,,1,01:18:00,,,,,
,,,,,,,,,,,,,,1,01:19:00,,,,,
,,,,,,,,,,,,,,1,01:20:00,,,,,
,,,,,,,,,,,,,,1,01:21:00,,,,,
,,,,,,,,,,,,,,1,01:22:00,,,,,
,,,,,,,,,,,,,,1,01:23:00,,,,,
,,,,,,,,,,,,,,1,01:24:00,,,,,
,,,,,,,,,,,,,,1,01:25:00,,,,,
,,,,,,,,,,,,,,1,01:26:00,,,,,
,,,,,,,,,,,,,,1,01:27:00,,,,,
,,,,,,,,,,,,,,1,01:28:00,,,,,
,,,,,,,,,,,,,,1,01:29:00,,,,,
,,,,,,,,,,,,,,1,01:30:00,,,,,
,,,,,,,,,,,,,,1,01:31:00,,,,,
,,,,,,,,,,,,,,1,01:32:00,,,,,
,,,,,,,,,,,,,,1,01:33:00,,,,,
,,,,,,,,,,,,,,1,01:34:00,,,,,
,,,,,,,,,,,,,,1,01:35:00,,,,,
,,,,,,,,,,,,,,1,01:36:00,,,,,
,,,,,,,,,,,,,,1,01:37:00,,,,,
,,,,,,,,,,,,,,1,01:38:00,,,,,
,,,,,,,,,,,,,,1,01:39:00,,,,,
,,,,,,,,,,,,,,1,01:40:00,,,,,
,,,,,,,,,,,,,,1,01:41:00,,,,,
,,,,,,,,,,,,,,1,01:42:00,,,,,
,,,,,,,,,,,,,,1,01:43:00,,,,,
,,,,,,,,,,,,,,1,01:44:00,,,,,
,,,,,,,,,,,,,,1,01:45:00,,,,,
,,,,,,,,,,,,,,1,01:46:00,,,,,
,,,,,,,,,,,,,,1,01:47:00,,,,,
,,,,,,,,,,,,,,1,01:48:00,,,,,
,,,,,,,,,,,,,,1,01:49:00,,,,,
,,,,,,,,,,,,,,1,01:50:00,,,,,
,,,,,,,,,,,,,,2,01:51:00,,,,,
,,,,,,,,,,,,,,2,01:52:00,,,,,
,,,,,,,,,,,,,,1,01:53:00,,,,,
,,,,,,,,,,,,,,1,01:54:00,,,,,
,,,,,,,,,,,,,,1,01:55:00,,,,,
,,,,,,,,,,,,,,1,01:56:00,,,,,
,,,,,,,,,,,,,,1,01:57:00,,,,,
,,,,,,,,,,,,,,1,01:58:00,,,,,
,,,,,,,,,,,,,,1,01:59:00,,,,,
,,,,,,,,,,,,,,1,02:00:00,,,,,
,,,,,,,,,,,,,,1,02:01:00,,,,,
,,,,,,,,,,,,,,1,02:02:00,,,,,
,,,,,,,,,,,,,,1,02:03:00,,,,,
,,,,,,,,,,,,,,1,02:04:00,,,,,
,,,,,,,,,,,,,,1,02:05:00,,,,,
,,,,,,,,,,,,,,1,02:06:00,,,,,
,,,,,,,,,,,,,,1,02:07:00,,,,,
,,,,,,,,,,,,,,1,02:08:00,,,,,
,,,,,,,,,,,,,,1,02:09:00,,,,,
,,,,,,,,,,,,,,1,02:10:00,,,,,
,,,,,,,,,,,,,,1,02:11:00,,,,,
,,,,,,,,,,,,,,2,02:12:00,,,,,
,,,,,,,,,,,,,,1,02:13:00,,,,,
,,,,,,,,,,,,,,1,02:14:00,,,,,
,,,,,,,,,,,,,,1,02:15:00,,,,,
,,,,,,,,,,,,,,1,02:16:00,,,,,
,,,,,,,,,,,,,,1,02:17:00,,,,,
,,,,,,,,,,,,,,1,02:18:00,,,,,
,,,,,,,,,,,,,,1,02:19:00,,,,,
,,,,,,,,,,,,,,1,02:20:00,,,,,
,,,,,,,,,,,,,,1,02:21:00,,,,,
,,,,,,,,,,,,,,1,02:22:00,,,,,
,,,,,,,,,,,,,,1,02:23:00,,,,,
,,,,,,,,,,,,,,1,02:24:00,,,,,
,,,,,,,,,,,,,,1,02:25:00,,,,,
,,,,,,,,,,,,,,1,02:26:00,,,,,
,,,,,,,,,,,,,,1,02:27:00,,,,,
,,,,,,,,,,,,,,1,02:28:00,,,,,
,,,,,,,,,,,,,,1,02:29:00,,,,,
,,,,,,,,,,,,,,1,02:30:00,,,,,
,,,,,,,,,,,,,,1,02:31:00,,,,,
,,,,,,,,,,,,,,1,02:32:00,,,,,
